OID_,created_date,last_edited_date,ROADSEGID,SUB_TYPE,FNODE,TNODE,LENGTH,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Length
11,4/1/1980 0:00:00,6/28/2019 13:34:52,28985,,114650,114651,115.004347740000000,7629,0,4/1/1980 0:00:00,M,D,6,T,0,2,SD,1820,1828,SD,0,0,N,N,N,0,1828,1793263.000000000000000,6301479.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6301479.000000000000000,1793263.000000000000000,6301536.997999999672174,1793262.496000000042841,6301594.000000000000000,1793262.000000000000000,1,1,10400,20000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,115.004445802273210
12,6/1/1985 0:00:00,2/6/2018 8:33:34,28978,,114651,114653,109.004587060000006,7629,0,6/1/1985 0:00:00,M,D,6,T,0,2,SD,1830,1838,SD,0,0,N,N,N,0,1838,1793262.000000000000000,6301594.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6301594.000000000000000,1793262.000000000000000,6301648.997999999672174,1793261.495000000111759,6301703.000000000000000,1793261.000000000000000,1,1,10690,20000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,109.004697126272561
13,4/1/1980 0:00:00,6/18/2019 9:39:23,28989,,114655,114660,581.123911059999955,7629,0,4/1/1980 0:00:00,M,D,6,B,0,2,SD,1900,1958,SD,1901,1959,N,N,N,1900,1959,1793260.000000000000000,6302083.000000000000000,35,92154,92154,SD,SD,2,N,Y,1036,1036,10103,10103,721,722,6302083.000000000000000,1793260.000000000000000,6302373.938000000081956,1793253.990999999921769,6302664.000000000000000,1793248.000000000000000,1,1,10600,10010,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,581.123732841668811
14,2/1/1989 0:00:00,1/29/2018 15:12:20,28991,,114662,114668,346.830098070000020,7629,0,2/1/1989 0:00:00,M,D,4,B,0,2,SD,2040,2048,SD,2041,2049,N,N,N,2040,2049,1793245.774999999906868,6303237.538999999873340,35,92154,92154,SD,SD,2,N,Y,1036,1036,10103,10103,721,722,6303237.538999999873340,1793245.774999999906868,6303410.516999999992549,1793243.047000000020489,6303584.326000000350177,1793240.307000000029802,1,1,10610,10100,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,346.830134276736032
15,4/1/1980 0:00:00,1/28/2016 14:07:41,28960,,114617,114618,187.000000000000000,7629,150,4/1/1980 0:00:00,M,D,6,B,0,2,IB,1100,1122,IB,1101,1123,N,N,N,1100,1123,1793318.000000000000000,6296565.000000000000000,35,91932,91932,IB,IB,2,N,Y,1018,1018,10502,10502,702,702,6296565.000000000000000,1793318.000000000000000,6296659.000000000000000,1793318.000000000000000,6296752.000000000000000,1793318.000000000000000,1,1,10220,20070,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,186.999954089522362
16,2/1/1989 0:00:00,6/28/2019 13:34:37,28974,,114635,114636,55.009090160000000,7629,0,2/1/1989 0:00:00,M,D,6,T,0,2,SD,1444,1448,SD,0,0,N,N,N,0,1448,1793289.000000000000000,6299173.000000000000000,35,92154,92154,SD,SD,2,N,Y,1034,1034,10103,10103,721,721,6299173.000000000000000,1793289.000000000000000,6299200.995000000111759,1793288.490999999921769,6299228.000000000000000,1793288.000000000000000,1,1,10300,30000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,55.008980139774451
17,4/1/1980 0:00:00,1/29/2018 15:12:20,28988,,114660,114661,117.017075680000005,7629,0,4/1/1980 0:00:00,M,D,6,B,0,2,SD,2000,2024,SD,2001,2023,N,N,N,2000,2024,1793248.000000000000000,6302664.000000000000000,35,92154,92154,SD,SD,2,N,Y,1036,1036,10103,10103,721,722,6302664.000000000000000,1793248.000000000000000,6302722.991000000387430,1793246.992000000085682,6302781.000000000000000,1793246.000999999931082,1,1,10600,10000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,117.017169954299760
18,4/1/1980 0:00:00,6/28/2019 13:35:01,28941,,114632,114635,488.032229509999979,7629,0,4/1/1980 0:00:00,M,D,6,T,0,2,SD,1380,1442,SD,0,0,N,N,N,0,1442,1793294.000000000000000,6298685.000000000000000,35,92154,92154,SD,SD,2,N,Y,1034,1034,10103,10103,721,721,6298685.000000000000000,1793294.000000000000000,6298928.995000000111759,1793292.445999999996275,6299173.000000000000000,1793289.000000000000000,1,1,10300,30030,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,488.032237643205974
19,2/20/1992 0:00:00,2/4/2020 12:55:52,28975,,114631,114632,41.627562640000001,7629,0,2/20/1992 0:00:00,M,D,6,T,0,2,SD,1374,1378,SD,0,0,N,N,N,0,1378,1793295.101000000024214,6298643.387000000104308,35,92154,92154,SD,SD,2,N,Y,1034,1034,10103,10103,721,721,6298643.387000000104308,1793295.101000000024214,6298664.379999999888241,1793294.544999999925494,6298685.000000000000000,1793294.000000000000000,1,1,10300,30000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,41.627669611575769
20,,6/28/2019 13:35:04,28983,,114640,114641,95.021050299999999,7629,0,,M,D,6,T,0,2,SD,1650,1658,SD,0,0,N,N,N,0,1658,1793275.000000000000000,6300381.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6300381.000000000000000,1793275.000000000000000,6300428.989000000059605,1793273.989999999990687,6300476.000000000000000,1793273.000000000000000,1,1,10510,20020,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,95.021188273495000
21,,6/28/2019 13:34:55,28982,,114641,114643,156.012819989999997,7629,0,,M,D,6,T,0,2,SD,1660,1678,SD,0,0,N,N,N,0,1678,1793273.000000000000000,6300476.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6300476.000000000000000,1793273.000000000000000,6300553.993999999947846,1793272.000000000000000,6300632.000000000000000,1793271.000000000000000,1,1,10390,20020,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,156.012836011888282
22,2/1/1989 0:00:00,6/28/2019 13:34:44,28976,,114636,114637,191.010471200000012,7629,0,2/1/1989 0:00:00,M,D,6,T,0,2,SD,1450,1498,SD,0,0,N,N,N,0,1498,1793288.000000000000000,6299228.000000000000000,35,92154,92154,SD,SD,2,N,Y,1034,1034,10103,10103,721,721,6299228.000000000000000,1793288.000000000000000,6299323.995000000111759,1793286.993999999947846,6299419.000000000000000,1793286.000000000000000,1,1,10300,30000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,191.010745131896755
23,4/1/1980 0:00:00,7/14/2016 11:34:12,3003006,,50394,50334,196.461939180000002,4721,0,4/1/1980 0:00:00,M,D,6,B,0,2,DM,2400,2488,DM,2401,2489,N,N,N,2400,2489,1933889.000000000000000,6249501.000000000000000,25,92014,92014,DM,DM,3,N,Y,1008,1008,17201,17202,292,292,6249501.000000000000000,1933889.000000000000000,6249479.975999999791384,1933984.688000000081956,6249465.000000000000000,1934082.000000000000000,1,1,10340,20140,,CAM DEL MAR,,CAM DEL MAR,,CAMINO DEL MAR,,,CAMINO DEL MAR,196.461860339668362
24,2/1/1989 0:00:00,12/16/2020 13:56:07,129636,,7584,7737,1104.317200619999994,44006,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,16700,16798,CN,16701,16799,N,N,N,16700,16799,2050798.000000000000000,6342039.000000000000000,50,92061,92061,CN,CN,2,N,Y,1083,3011,19108,19110,809,809,6342039.000000000000000,2050798.000000000000000,6342267.563000000081956,2050295.543999999994412,6342609.000000000000000,2049875.000000000000000,1,1,11230,10300,,SR-76,,SR-76,,STATE ROUTE 76,,,STATE ROUTE 76,1104.317387284789220
25,4/1/1980 0:00:00,12/13/2018 13:35:57,41929,,38678,38664,632.494268749999947,10388,0,4/1/1980 0:00:00,M,D,6,B,0,2,EN,1800,1898,EN,1801,1899,N,N,N,1800,1899,1969580.000000000000000,6254818.000000000000000,35,92024,92024,CB,EN,3,N,Y,1021,1002,20034,17107,8,223,6254818.000000000000000,1969580.000000000000000,6255133.752999999560416,1969592.489999999990687,6255450.000000000000000,1969605.000000000000000,1,1,10260,10040,,OLIVENHAIN,RD,OLIVENHAIN RD,,OLIVENHAIN,RD,,OLIVENHAIN RD,632.494315074289716
26,2/1/1989 0:00:00,1/12/2021 13:55:03,129239,,46122,46225,921.722013319999974,43894,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,17400,17548,CN,17401,17549,N,N,N,17400,17549,1948303.999000000068918,6352795.998999999836087,45,92065,92065,CN,CN,2,N,Y,2034,1003,20801,20801,434,438,6352795.998999999836087,1948303.999000000068918,6353235.333999999798834,1948168.310999999986961,6353668.000000000000000,1948010.000000000000000,1,1,20510,10030,,SR-67,,SR-67,,STATE ROUTE 67,,,STATE ROUTE 67,921.721931961511018
27,2/1/1989 0:00:00,10/9/2015 7:54:48,136092,,44758,44916,623.717400419999990,43894,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,2800,2898,CN,2801,2899,N,N,N,2800,2899,1952331.267999999923632,6363351.035000000149012,45,92065,92065,CN,CN,2,N,Y,3003,2027,20801,20801,435,430,6363351.035000000149012,1952331.267999999923632,6363121.413999999873340,1952120.037999999942258,6362892.000000000000000,1951909.000000000000000,1,1,30060,20640,,SR-67,,SR-67,,STATE ROUTE 67,,,STATE ROUTE 67,623.717187708345932
28,2/1/1989 0:00:00,1/5/2017 13:53:31,129008,,37097,36445,3294.800733909999963,43823,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,501,699,CN,500,698,N,N,N,500,699,1973662.750000000000000,6463072.088000000454485,45,92036,92036,CN,CN,2,N,Y,2009,2150,20904,20903,832,832,6463072.088000000454485,1973662.750000000000000,6462059.872999999672174,1974632.823000000091270,6461244.257000000216067,1975693.429000000003725,1,1,30590,33010,,BANNER,RD,BANNER RD,,BANNER,RD,,BANNER RD,3294.800942616879638
29,2/1/1989 0:00:00,6/19/2008 7:29:00,118147,,111704,111398,1786.845076070000005,40808,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,17990,18298,CN,17991,18299,N,N,N,17990,18299,1806319.000000000000000,6404945.001000000163913,45,91917,91917,CN,CN,2,N,Y,1013,1017,21302,21302,877,877,6404945.001000000163913,1806319.000000000000000,6405739.120000000111759,1806701.719000000040978,6406447.000000000000000,1807226.000000000000000,1,1,10810,10780,,SR-94,,SR-94,,STATE ROUTE 94,,,STATE ROUTE 94,1786.845083859781198
30,2/1/1989 0:00:00,9/15/2015 10:00:47,90623,,83443,83228,355.102427719999980,27212,60,2/1/1989 0:00:00,M,D,6,B,0,2,CN,21430,22128,CN,21431,22129,N,N,N,21430,22129,1858203.000000000000000,6430948.000000000000000,45,91901,91901,CN,CN,3,N,Y,2021,2016,21202,21202,850,850,6430948.000000000000000,1858203.000000000000000,6431087.258999999612570,1858313.263000000035390,6431198.000000000000000,1858451.000000000000000,1,1,20560,20490,,JAPATUL VALLEY,RD,JAPATUL VALLEY RD,,JAPATUL VALLEY,RD,,JAPATUL VALLEY RD,355.102447637804858
31,2/1/1989 0:00:00,11/13/2017 9:16:33,118186,,112890,112932,242.860041999999993,40808,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,20830,20858,CN,20831,20859,N,N,N,20830,20859,1801505.000000000000000,6423008.000000000000000,45,91917,91917,CN,CN,2,N,Y,1036,1034,21302,21302,878,878,6423008.000000000000000,1801505.000000000000000,6423082.734000000171363,1801409.837999999988824,6423158.000000000000000,1801314.000000000000000,1,1,11130,11090,,SR-94,,SR-94,,STATE ROUTE 94,,,STATE ROUTE 94,242.860016936466621
32,2/1/1989 0:00:00,9/15/2015 10:08:45,90619,,82189,81312,1416.567044679999981,27212,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,22234,22348,CN,22235,22349,N,N,N,22234,22349,1859820.000000000000000,6431645.000000000000000,45,91901,91901,CN,CN,3,N,Y,2021,2016,21202,21202,850,850,6431645.000000000000000,1859820.000000000000000,6431974.381000000052154,1860431.337000000057742,6432160.000000000000000,1861114.000000000000000,1,1,20560,20490,,JAPATUL VALLEY,RD,JAPATUL VALLEY RD,,JAPATUL VALLEY,RD,,JAPATUL VALLEY RD,1416.566769894635172
33,2/1/1989 0:00:00,9/15/2015 10:16:53,90626,,82693,82668,24.737421080000001,27212,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,22166,22168,CN,22167,22169,N,N,N,22166,22169,1859153.000999999931082,6431407.001000000163913,45,91901,91901,CN,CN,3,N,Y,2021,2016,21202,21202,850,850,6431407.001000000163913,1859153.000999999931082,6431409.911000000312924,1859164.642999999923632,6431413.000000000000000,1859177.000000000000000,1,1,20560,20490,,JAPATUL VALLEY,RD,JAPATUL VALLEY RD,,JAPATUL VALLEY,RD,,JAPATUL VALLEY RD,24.737708992977677
34,2/1/1989 0:00:00,2/8/2019 14:25:14,129629,,5651,5743,886.854941339999982,44006,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,15310,15372,CN,15311,15373,N,N,N,15310,15373,2063759.479000000050291,6332735.729000000283122,50,92061,92061,CN,CN,2,N,Y,1034,2028,19108,19109,809,809,6332735.729000000283122,2063759.479000000050291,6332963.644999999552965,2063379.605999999912456,6333192.000000000000000,2062999.000000000000000,1,1,10880,20800,,SR-76,,SR-76,,STATE ROUTE 76,,,STATE ROUTE 76,886.854995814293261
35,,7/14/2016 11:51:17,90936,,7509,7506,531.960715380000011,27289,0,,M,D,6,B,0,2,CN,31700,31708,CN,31701,31709,N,N,N,31700,31709,2051207.000999999931082,6362616.000000000000000,20,92061,92060,CN,CN,4,N,Y,1059,1057,19108,19108,811,811,6362616.000000000000000,2051207.000999999931082,6362881.635999999940395,2051215.899999999906868,6363146.000000000000000,2051245.000000000000000,1,1,11690,11830,,SOUTH GRADE,RD,SOUTH GRADE RD,,SOUTH GRADE,RD,,SOUTH GRADE RD,531.960621135823317
36,2/1/1989 0:00:00,7/14/2016 11:49:23,11214,,28362,28331,130.142450069999995,3878,0,2/1/1989 0:00:00,M,D,6,B,0,2,ES,2100,2138,ES,2101,2139,N,N,N,2100,2139,1995098.540999999968335,6317144.825000000186265,35,92027,92027,ES,ES,3,N,Y,1001,2000,20209,20209,46,56,6317144.825000000186265,1995098.540999999968335,6317201.849999999627471,1995129.736000000033528,6317259.000000000000000,1995161.000000000000000,1,1,10000,20180,E,VALLEY,PY,E VALLEY PY,E,VALLEY,PKY,,E VALLEY PKY,130.142514899392950
37,4/1/1980 0:00:00,7/14/2016 11:51:11,27378,,41087,41105,289.542741560000024,7345,0,4/1/1980 0:00:00,M,D,6,B,0,2,EN,1600,1616,EN,1601,1615,N,N,N,1600,1616,1961686.000000000000000,6254891.000000000000000,45,92024,92024,EN,EN,3,N,Y,4002,1004,17108,17403,223,224,6254891.000000000000000,1961686.000000000000000,6255034.542000000365078,1961665.719000000040978,6255175.000000000000000,1961632.000000000000000,1,1,40020,10040,,ENCINITAS,BL,ENCINITAS BL,,ENCINITAS,BLVD,,ENCINITAS BLVD,289.542813938618337
38,4/1/1980 0:00:00,7/14/2016 11:51:24,135296,,41105,41151,508.035514680000006,7345,0,4/1/1980 0:00:00,M,D,6,B,0,2,EN,1618,1668,EN,1617,1669,N,N,N,1617,1669,1961632.000000000000000,6255175.000000000000000,45,92024,92024,EN,EN,3,N,Y,3002,1000,17108,17403,223,224,6255175.000000000000000,1961632.000000000000000,6255417.963999999687076,1961557.941000000108033,6255661.000000000000000,1961484.000000000000000,1,1,30020,10000,,ENCINITAS,BL,ENCINITAS BL,,ENCINITAS,BLVD,,ENCINITAS BLVD,508.035535732234678
39,2/1/1989 0:00:00,6/12/2015 14:35:21,129229,,47033,46580,1496.476633470000024,43894,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,16060,16148,CN,16061,16149,N,N,N,16060,16149,1945495.793000000063330,6344695.696000000461936,45,92065,92065,CN,CN,2,N,Y,2004,2004,17021,17021,438,438,6344695.696000000461936,1945495.793000000063330,6345044.870000000111759,1946157.218000000109896,6345321.000000000000000,1946851.000000000000000,1,1,10050,10050,,SR-67,,SR-67,,STATE ROUTE 67,,,STATE ROUTE 67,1496.476533423552837
40,2/1/1989 0:00:00,8/5/2016 12:50:36,129225,,48517,48362,506.553200870000012,43894,0,2/1/1989 0:00:00,M,D,6,B,0,2,PW,15270,15398,PW,15271,15399,N,N,N,15270,15399,1940955.397000000113621,6338029.555999999865890,45,92064,92064,PW,PW,2,N,Y,2010,1009,17021,20801,407,408,6338029.555999999865890,1940955.397000000113621,6338068.521999999880791,1941205.164000000106171,6338141.000000000000000,1941448.000000000000000,1,1,20190,10470,,SR-67,,SR-67,,STATE ROUTE 67,,,STATE ROUTE 67,506.553245618067081
41,2/1/1989 0:00:00,11/12/2019 12:13:33,129242,,46117,46154,319.781175179999991,43894,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,16850,16898,CN,16851,16899,N,N,N,16850,16899,1948314.000000000000000,6349034.000000000000000,45,92065,92065,CN,CN,2,N,Y,2022,1003,20801,20801,434,438,6349034.000000000000000,1948314.000000000000000,6349188.105000000447035,1948270.970999999903142,6349342.000000000000000,1948228.000000000000000,1,1,20530,10030,,SR-67,,SR-67,,STATE ROUTE 67,,,STATE ROUTE 67,319.781255848087426
42,2/1/1989 0:00:00,5/9/2011 15:53:45,111261,,115617,115436,790.753335239999956,37711,60,2/1/1989 0:00:00,M,D,6,B,0,2,CN,420,448,CN,421,449,N,N,N,420,449,1790171.000000000000000,6445294.000000000000000,45,91980,91980,CN,CN,2,N,Y,1072,1068,21101,21101,878,878,6445294.000000000000000,1790171.000000000000000,6445018.654000000096858,1790444.577000000048429,6444692.000000000000000,1790668.000000000000000,1,1,12060,11970,,TECATE,RD,TECATE RD,,TECATE,RD,,TECATE RD,790.753397213520884
43,2/1/1989 0:00:00,6/19/2008 7:30:36,118165,,111471,111627,716.235986779999962,40808,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,18500,18598,CN,18501,18599,N,N,N,18500,18599,1806991.000000000000000,6407852.000000000000000,50,91917,91917,CN,CN,2,N,Y,1001,1017,21302,21302,877,877,6407852.000000000000000,1806991.000000000000000,6408158.879999999888241,1806809.195000000065193,6408416.000000000000000,1806560.000000000000000,1,1,10850,10620,,SR-94,,SR-94,,STATE ROUTE 94,,,STATE ROUTE 94,716.235772496662776
44,2/1/1989 0:00:00,9/15/2015 10:00:47,90622,,83228,83142,74.041846509999999,27212,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,22130,22134,CN,22131,22135,N,N,N,22130,22135,1858451.000000000000000,6431198.000000000000000,45,91901,91901,CN,CN,3,N,Y,2021,2016,21202,21202,850,850,6431198.000000000000000,1858451.000000000000000,6431218.040000000037253,1858482.084999999962747,6431235.000000000000000,1858515.000000000000000,1,1,20510,20490,,JAPATUL VALLEY,RD,JAPATUL VALLEY RD,,JAPATUL VALLEY,RD,,JAPATUL VALLEY RD,74.041987087147930
45,2/1/1989 0:00:00,11/13/2017 9:16:25,118187,,112843,112890,233.649309859999988,40808,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,20800,20828,CN,20801,20829,N,N,N,20800,20829,1801689.000000000000000,6422864.000000000000000,50,91917,91917,CN,CN,2,N,Y,1036,1034,21302,21302,877,877,6422864.000000000000000,1801689.000000000000000,6422936.108000000007451,1801596.861999999964610,6423008.000000000000000,1801505.000000000000000,1,1,11130,11090,,SR-94,,SR-94,,STATE ROUTE 94,,,STATE ROUTE 94,233.649303142716093
46,4/1/1980 0:00:00,7/14/2016 11:53:03,21344,,5597,5620,169.037932990000002,6005,100,4/1/1980 0:00:00,M,D,6,B,0,2,CN,3550,3598,CN,3551,3599,N,N,N,3550,3599,2064151.000000000000000,6260474.000000000000000,45,92028,92028,CN,CN,3,N,Y,3015,1011,18804,18801,392,390,6260474.000000000000000,2064151.000000000000000,6260473.010999999940395,2064066.031999999890104,6260474.000000000000000,2063982.000000000000000,1,1,50210,10250,S,MISSION,RD,S MISSION RD,S,MISSION,RD,,S MISSION RD,169.037921636552511
47,2/1/1989 0:00:00,3/19/2018 10:35:47,124482,,4606,4582,345.268662080000013,21660,0,2/1/1989 0:00:00,M,D,6,B,0,2,CN,9860,9882,CN,9861,9883,N,N,N,9860,9883,2071676.000000000000000,6296636.000000000000000,45,92059,92059,CN,CN,2,N,Y,2060,3025,19108,19109,801,801,6296636.000000000000000,2071676.000000000000000,6296748.947999999858439,2071807.040999999968335,6296863.000000000000000,2071936.000000000000000,1,1,41280,30120,,PALA,RD,PALA RD,,PALA,RD,,PALA RD,345.268671591928694
